Test Number,Time need to send(nano second),number of package,packet byte
410,12118800,2048,512
410,43795500,4096,256
411,71044700,1024,1024
411,86005700,2048,512
411,74354700,4096,256
412,87263400,1024,1024
412,8866700,2048,512
412,81726400,4096,256
413,52795400,1024,1024
413,1489800,2048,512
413,81998600,4096,256
414,50939700,1024,1024
414,71391200,2048,512
414,2233700,4096,256
415,69084200,1024,1024
415,98410900,2048,512
415,84303600,4096,256
416,69661600,1024,1024
416,78381400,2048,512
416,73250200,4096,256
417,66732600,1024,1024
417,10534700,2048,512
417,4091600,4096,256
418,57388000,1024,1024
418,74706700,2048,512
418,96197800,4096,256
419,80396800,1024,1024
419,70828200,2048,512
419,91643300,4096,256
420,94881100,1024,1024
420,99652500,2048,512
420,85159200,4096,256
421,52253800,1024,1024
421,92997500,2048,512
421,6725300,4096,256
422,54433000,1024,1024
422,75342300,2048,512
422,96023000,4096,256
423,61532900,1024,1024
423,57810300,2048,512
423,91043600,4096,256
424,98389700,1024,1024
424,82005000,2048,512
424,72502200,4096,256
425,53034900,1024,1024
425,8458100,2048,512
425,92071900,4096,256
426,89003700,1024,1024
426,77165200,2048,512
426,12424300,4096,256
427,61746000,1024,1024
427,70951400,2048,512
427,85025600,4096,256
428,59597900,1024,1024
428,19928200,2048,512
428,18713400,4096,256
429,76449400,1024,1024
429,8698600,2048,512
429,87677400,4096,256
430,63993200,1024,1024
430,93153000,2048,512
430,95772500,4096,256
431,80316100,1024,1024
431,98761300,2048,512
431,91499900,4096,256
432,75618700,1024,1024
432,72852900,2048,512
432,80931900,4096,256
433,79268900,1024,1024
433,3383100,2048,512
433,32058400,4096,256
434,76129300,1024,1024
434,13077800,2048,512
434,1302900,4096,256
435,52829900,1024,1024
435,73617900,2048,512
435,23765300,4096,256
436,82048800,1024,1024
436,81087100,2048,512
436,22427500,4096,256
437,97635700,1024,1024
437,82645900,2048,512
437,74959000,4096,256
438,87751700,1024,1024
438,31328000,2048,512
438,84983600,4096,256
439,45259900,1024,1024
439,10479200,2048,512
439,14348800,4096,256
440,83228700,1024,1024
440,65167100,2048,512
440,81439500,4096,256
441,51735700,1024,1024
441,83089800,2048,512
441,85471600,4096,256
442,68447900,1024,1024
442,76695900,2048,512
442,79883800,4096,256
443,60398600,1024,1024
443,71698800,2048,512
443,80351800,4096,256
444,91274700,1024,1024
444,65644300,2048,512
444,84246000,4096,256
445,49254900,1024,1024
445,89241000,2048,512
445,75516400,4096,256
446,50352800,1024,1024
446,26391200,2048,512
446,82721300,4096,256
447,57089400,1024,1024
447,73891300,2048,512
447,76082300,4096,256
448,52717000,1024,1024
448,74322400,2048,512
448,74567200,4096,256
449,49615300,1024,1024
449,62863800,2048,512
449,4507900,4096,256
450,44387000,1024,1024
450,5141400,2048,512
450,92998300,4096,256
451,59237200,1024,1024
451,65854400,2048,512
451,74479600,4096,256
452,55188800,1024,1024
452,76191400,2048,512
452,83902000,4096,256
453,53982300,1024,1024
453,62146100,2048,512
453,78302300,4096,256
454,78026100,1024,1024
454,73436000,2048,512
454,75049400,4096,256
455,48945500,1024,1024
455,61013400,2048,512
455,85576100,4096,256
456,52410800,1024,1024
456,74628700,2048,512
456,80277000,4096,256
457,57539400,1024,1024
457,73041100,2048,512
457,84555500,4096,256
458,51890700,1024,1024
458,76956700,2048,512
458,82525600,4096,256
459,52081100,1024,1024
459,74122900,2048,512
459,85652700,4096,256
460,56844100,1024,1024
460,67653200,2048,512
460,88546100,4096,256
461,55533400,1024,1024
461,73903500,2048,512
461,80691100,4096,256
462,59250900,1024,1024
462,66858000,2048,512
462,92391400,4096,256
463,53491800,1024,1024
463,72773100,2048,512
463,82700900,4096,256
464,58442200,1024,1024
464,70212900,2048,512
464,87062000,4096,256
465,58031200,1024,1024
465,78479200,2048,512
465,80757100,4096,256
466,55913300,1024,1024
466,71312600,2048,512
466,85517900,4096,256
467,64949100,1024,1024
467,76107100,2048,512
467,82347100,4096,256
468,58744100,1024,1024
468,68358500,2048,512
468,90097400,4096,256
469,52523200,1024,1024
469,81180000,2048,512
469,6415400,4096,256
470,58504200,1024,1024
470,66112800,2048,512
470,75994400,4096,256
471,53697900,1024,1024
471,64367600,2048,512
471,84984400,4096,256
472,53197800,1024,1024
472,86615700,2048,512
472,11220700,4096,256
473,76203300,1024,1024
473,69393500,2048,512
473,87617400,4096,256
474,62081500,1024,1024
474,77037600,2048,512
474,78825900,4096,256
475,65228800,1024,1024
475,81851800,2048,512
475,82414700,4096,256
476,61544900,1024,1024
476,80313100,2048,512
476,82947100,4096,256
477,56269900,1024,1024
477,75511600,2048,512
477,76614400,4096,256
478,50810800,1024,1024
478,62284700,2048,512
478,82174300,4096,256
479,96277000,1024,1024
479,77318000,2048,512
479,77916300,4096,256
480,65568300,1024,1024
480,73382100,2048,512
480,82425400,4096,256
481,64439800,1024,1024
481,32511200,2048,512
481,77126200,4096,256
482,50311000,1024,1024
482,65099500,2048,512
482,73627500,4096,256
483,55216100,1024,1024
483,63588900,2048,512
483,74909400,4096,256
484,60620200,1024,1024
484,76294300,2048,512
484,82833500,4096,256
485,56530400,1024,1024
485,70884400,2048,512
485,81603200,4096,256
486,51489700,1024,1024
486,61992800,2048,512
486,87007900,4096,256
487,69713200,1024,1024
487,67459300,2048,512
487,93156800,4096,256
488,93020700,1024,1024
488,22987100,2048,512
488,91052600,4096,256
489,70566900,1024,1024
489,10514400,2048,512
489,72852900,4096,256
490,46939200,1024,1024
490,74935600,2048,512
490,87124200,4096,256
491,65935200,1024,1024
491,27016000,2048,512
491,84736200,4096,256
492,55238900,1024,1024
492,64947100,2048,512
492,94214500,409,
