Test Number,RTT(nano second),packet byte
364,75300 ,1024
365,6300 ,8
365,2000 ,64
365,25300 ,256
365,56700 ,1024
366,32200 ,8
366,16300 ,64
366,65300 ,256
366,29400 ,1024
367,20900 ,8
367,23200 ,64
367,35200 ,256
367,20000 ,1024
368,04700 ,8
368,10400 ,64
368,46700 ,256
368,91600 ,1024
369,8100 ,8
369,8800 ,64
369,19200 ,256
369,61200 ,1024
370,6600 ,8
370,09500 ,64
370,19000 ,256
370,50300 ,1024
371,0700 ,8
371,17600 ,64
371,56100 ,256
371,27500 ,1024
372,00000 ,8
372,9300 ,64
372,31300 ,256
372,61900 ,1024
373,4400 ,8
373,7200 ,64
373,03100 ,256
373,29100 ,1024
374,3800 ,8
374,1600 ,64
374,14900 ,256
374,38200 ,1024
375,4000 ,8
375,7400 ,64
375,31200 ,256
375,59500 ,1024
376,9700 ,8
376,8400 ,64
376,8500 ,256
376,31500 ,1024
377,9800 ,8
377,0100 ,64
377,00900 ,256
